intercolumnar_distance,upper_margin,lower_margin,exploitation,row_number,modular_ratio,interlinear_spacing,weight,peak_number,modular_ratio/interlinear_spacing,class
0.006853,0.462474,-0.016878,0.649795,-1.347089,-0.349509,0.333428,1.119627,0.500624,-0.37847,F
0.204355,0.038511,0.036468,0.655644,0.17234,-1.636779,0.899684,-2.25378,-2.368071,-1.755443,A
0.624046,,0.178724,0.711352,1.066121,-0.474083,-0.270579,0.725747,1.217798,-0.151785,I
0.192011,-0.03215,0.452567,-0.877078,0.261718,-0.266459,0.031425,-1.287592,-0.621908,-0.142636,A
-0.16596,-0.134216,0.256965,0.387041,0.261718,1.394535,0.031425,-0.359011,-0.497183,1.392923,F
0.043885,-0.079257,0.061363,0.565085,0.261718,2.515706,0.144676,-0.815137,-0.621908,2.347978,A
0.4142,-0.16562,0.05425,-0.891996,0.976743,-1.013906,-0.648083,-0.052481,1.436069,-0.432332,I
0.266074,0.164129,0.118265,0.320234,0.261718,-0.10036,-0.081827,0.36429,-0.216549,0.082627,A
0.25373,-0.197025,0.260522,0.326888,0.261718,-0.391033,0.069175,-0.309618,-0.65309,-0.273699,F
0.142636,0.164129,0.200063,-0.249732,0.261718,-0.889332,0.031425,0.537496,-0.123005,-0.700764,A
0.192011,0.085618,0.278304,-1.347355,0.261718,-1.138481,-0.497081,0.514838,-0.123005,-0.67112,F
-0.486901,-0.259834,-3.210528,0.221798,0.351096,-0.723232,-0.081827,-0.958656,-0.403638,-0.502072,E
0.142636,0.486028,0.025799,0.545422,0.17234,-0.557133,-0.081827,0.785935,-0.123005,-0.330623,A
-0.314087,-0.236281,0.029355,0.460861,0.261718,1.062336,-0.119577,0.136994,0.375899,1.196147,A
0.15498,0.140576,0.228514,0.766134,-1.257711,0.314889,0.52218,0.536699,-0.185368,0.114778,A
0.364825,-0.149918,0.107596,-1.108143,0.17234,-0.307984,-2.724356,0.247721,-0.154186,-1.862179,A
0.512951,-0.416858,0.125378,0.549719,0.976743,-0.224934,-1.818346,0.47226,1.436069,1.13029,I
0.130292,-0.275537,0.274747,-0.574878,0.261718,2.889429,0.635431,-1.180749,-0.840179,2.303929,A
0.266074,0.164129,0.118265,0.320234,0.261718,-0.474083,0.182426,-0.422169,-0.777816,-0.407523,A
0.204355,0.360409,0.139604,0.299019,-0.095795,0.231839,0.257927,0.361359,0.531806,0.212617,A
0.204355,-0.126364,0.335206,0.483538,-1.257711,-1.346105,-0.34608,-1.351701,-2.305708,-0.942156,F
0.192011,0.509582,0.079145,1.072093,0.261718,1.145386,0.069175,0.935026,0.594169,1.129796,A
-0.153617,-0.087108,0.299642,0.689629,0.261718,-0.307984,0.182426,0.819019,0.219991,-0.260161,F
0.624046,-0.189174,0.139604,0.38731,0.976743,-1.512204,-1.063338,-0.381242,0.438262,-0.715206,I
0.846235,-0.09496,0.182281,-1.981085,0.61923,-2.840999,-1.176589,-1.355914,0.469443,-2.025321,I
-0.178304,-0.620989,0.32098,0.699028,0.261718,0.564038,0.899684,0.225548,0.562987,0.133463,E
-0.32643,-0.157769,0.424116,1.924954,0.17234,1.186911,-0.157328,0.208365,1.46725,1.32029,X
0.500607,-0.220579,-0.03466,0.497323,0.17234,-0.391033,0.333428,0.454087,0.001721,-0.404135,A
-0.128929,-0.409007,0.175168,-0.256565,0.082961,0.564038,0.899684,1.312248,0.750076,0.151606,E
0.130292,-0.275537,0.274747,-0.574878,0.261718,-0.474083,0.220177,-1.378669,-1.058449,-0.425437,A
-0.412837,-0.346197,0.601936,2.211191,0.440474,0.605563,-1.591843,1.026628,2.090879,1.858191,X
0.130292,0.870736,-3.210528,0.062493,0.261718,0.896237,-0.006326,0.336759,0.469443,0.945268,A
0.09326,0.054213,0.374326,0.378926,0.261718,0.024215,0.333428,0.852898,0.438262,-0.016491,H
-0.091897,0.226939,0.267634,0.024091,0.261718,-1.055431,0.257927,-0.282165,-0.278912,-0.957707,H
-0.116585,-0.079257,0.381439,1.540879,0.17234,0.564038,0.069175,0.818883,1.654339,0.660936,X
-0.091897,0.344707,0.182281,0.722749,0.261718,0.024215,0.408929,0.451718,1.093072,-0.077273,H
0.327793,-2.426761,-2.324983,-1.744082,0.440474,0.024215,0.106925,2.268456,0.812439,0.08605,A
0.080916,-0.244132,0.45968,0.426726,0.261718,1.519109,0.748682,-1.727389,-1.432627,1.030401,A
9.943651,-0.220579,-0.048886,-0.675372,-3.045274,-0.349509,-1.025587,0.259797,1.591976,0.404402,I
-0.351118,-0.314793,0.573485,1.670018,-0.185173,-0.141884,-1.478592,,1.623157,0.941543,X
0.080916,0.588093,0.01513,0.00225,0.261718,-0.307984,0.144676,0.236906,-0.091823,-0.245635,F
0.019197,-0.016448,0.324537,-0.20781,0.261718,0.314889,0.408929,0.052499,0.531806,0.187036,H
-0.042522,-0.189174,0.33165,-0.664392,0.261718,-0.058835,0.937434,T,0.18881,-0.430006,H
-0.030178,-0.063555,0.274747,-0.394925,0.261718,-1.138481,-0.044076,-0.078303,0.032902,-0.900783,F
-0.017834,-0.330495,0.488131,-0.183313,0.17234,0.190314,0.069175,-1.090079,-0.715453,0.27763,F
-0.054866,-0.024299,0.079145,0.136282,0.261718,0.896237,0.786433,-0.360001,-0.310094,0.472984,F
-0.017834,-0.149918,-2.975805,-1.078156,0.082961,1.35301,0.55993,-0.600247,0.095265,1.006387,F
0.019197,-0.087108,0.384996,0.794958,0.261718,0.107265,-0.006326,0.271834,0.500624,0.223816,A
-0.128929,0.069915,0.313868,0.510511,0.082961,1.35301,0.408929,-1.150888,-0.840179,1.082804,H
-0.462213,0.352558,0.150273,0.56049,0.261718,-0.930856,0.069175,1.146731,1.061891,-0.767296,E
-0.314087,0.540986,-0.041773,0.882562,0.261718,0.14879,0.295677,0.989661,0.18881,0.104,F
0.303106,-0.134216,-0.002652,-0.624558,0.261718,0.480988,0.257927,-1.490852,-0.746634,0.395975,A
-0.301743,0.195534,0.381439,0.351116,0.082961,-0.515608,0.408929,-0.08805,0.344717,-0.561515,E
0.105604,-0.087108,0.367214,1.522618,0.261718,2.100457,0.52218,-0.203397,0.157628,1.68403,A
-0.338774,-0.197025,0.530808,1.146271,0.708609,0.605563,-0.497081,-0.290261,0.344717,1.007363,Y
0.080916,0.313302,0.079145,0.588985,0.261718,0.647088,0.484429,0.554367,0.375899,0.437108,F
-0.22768,0.250492,0.207175,-0.481276,0.261718,-0.515608,0.408929,-1.516189,-0.43482,-0.55415,E
0.117948,0.556689,-0.009765,-0.57261,0.261718,-0.681707,0.144676,-0.284437,0.032902,-0.57873,F
0.759828,-1.304042,-0.023991,-0.973663,-0.006417,-0.640182,-3.819118,-0.483541,0.718895,-1.416755,I
3.722352,0.336855,0.175168,-2.701227,0.261718,0.439463,0.333428,0.700254,-1.151994,0.326502,F
-0.079554,0.313302,0.139604,0.295528,0.261718,1.477585,0.069175,-0.033337,-0.154186,1.435912,A
-0.338774,-0.09496,0.527252,1.857252,-1.257711,0.480988,-1.28984,0.829988,1.934972,1.443157,X
-0.400494,-0.16562,0.392108,0.485626,0.261718,-0.930856,0.106925,0.848919,-0.123005,-0.787127,E
-0.462213,0.352558,0.150273,0.56049,0.261718,1.394535,-0.044076,-0.5075,0.032902,1.428618,E
0.080916,-0.244132,0.214288,-0.37914,0.261718,0.647088,0.031425,-0.864472,-0.43482,0.710566,F
0.142636,-0.244132,-3.206971,0.165524,0.887365,-0.307984,-0.459331,0.647503,-0.372457,0.162914,I
0.142636,0.164129,0.200063,-0.249732,0.261718,0.356414,0.446679,-1.071615,-0.840179,0.181443,A
-0.190648,-0.063555,0.441898,1.289493,0.261718,1.062336,-0.232828,0.647989,0.562987,1.247634,E
0.192011,-0.03215,0.249852,-0.418765,0.17234,-0.474083,0.55993,0.232052,0.001721,-0.587361,F
0.25373,-2.426761,0.352988,-0.05119,-0.095795,1.394535,0.182426,-0.627371,-0.278912,1.278519,A
-0.338774,-0.197025,0.530808,1.146271,0.708609,-0.058835,-1.591843,0.957897,0.40708,1.188938,Y
0.019197,0.077766,0.349432,-0.356523,0.261718,-0.930856,0.484429,-0.356545,-0.466001,-0.962927,H
-0.252367,0.069915,0.246296,0.52355,0.261718,-1.263055,0.106925,1.662812,0.968347,-1.089964,E
0.117948,-0.008597,0.623275,-0.855684,0.17234,2.058932,1.050686,-0.418306,-0.278912,1.312455,A
0.47592,-0.43256,0.114709,-0.87096,0.976743,-0.847807,-1.025587,0.188484,0.999528,-0.086097,I
0.809204,-0.16562,0.025799,0.712127,0.887365,-0.681707,-1.214339,0.394482,1.373706,0.23428,I
0.142636,-0.142067,0.246296,0.789259,-1.347089,1.394535,0.597681,0.325673,-0.154186,1.020853,A
0.006853,-0.668096,0.477462,1.62168,0.17234,2.515706,0.408929,-0.051471,0.032902,2.134699,A
-0.240024,-0.534626,0.075589,-0.617039,0.17234,2.80638,0.408929,-1.657339,-1.339082,2.39503,E
0.15498,-0.040001,0.363657,1.200934,0.261718,0.439463,0.597681,0.279154,-0.216549,0.173233,A
0.006853,0.038511,-0.376075,0.963811,-0.006417,0.273364,-0.044076,1.037015,0.469443,0.391973,A
0.117948,-0.16562,0.562816,0.567204,0.61923,-0.432558,-1.591843,-0.239936,-1.682078,0.747347,Y
0.031541,0.195534,0.246296,0.627208,0.261718,0.439463,0.55993,0.838279,0.282354,0.237848,H
0.142636,-0.244132,-3.206971,0.165524,0.887365,0.273364,-1.32759,0.15076,1.311343,1.280063,I
0.352481,-0.448263,0.196506,-0.528002,0.976743,-1.678304,-1.403091,0.831425,1.903791,-0.712373,I
0.290762,-0.189174,0.079145,-0.085921,0.976743,-0.930856,-1.101088,0.495694,1.68552,-0.087857,I
0.15498,0.140576,0.228514,0.766134,-1.257711,-0.141884,0.257927,1.282678,-0.060642,-0.147047,A
0.15498,-0.3619,0.40989,-0.171945,0.261718,-0.806282,-0.006326,0.010717,-0.247731,-0.60753,F
-0.00549,0.611647,0.022242,1.012179,0.261718,1.228436,0.484429,-0.572911,-0.528364,0.949728,A
-0.252367,-0.149918,0.313868,-0.243616,0.261718,0.190314,-0.497081,0.081156,-0.403638,0.597381,A
-0.672058,-0.613138,0.360101,0.373406,0.17234,-0.474083,-0.044076,0.264068,0.562987,-0.273843,E
-3.498799,0.007106,0.342319,-0.318002,-4.922215,-0.723232,0.408929,0.310898,0.594169,-0.740642,E
0.364825,-0.047852,-0.038216,0.327813,0.261718,0.564038,-0.081827,-0.053529,-0.154186,0.689012,A
0.068573,-0.267686,0.33165,-0.197963,-2.062114,-0.266459,0.220177,0.671481,0.344717,-0.240548,A
1.019049,0.211237,-0.155578,-0.311855,0.261718,0.522513,0.824183,0.365999,0.095265,0.127773,A
0.500607,-0.220579,-0.03466,0.497323,0.17234,-0.141884,0.861934,0.84189,0.095265,-0.452766,A
-0.22768,0.085618,0.239183,-0.523467,0.261718,0.231839,0.408929,0.235295,0.438262,0.101409,E
-0.042522,-0.173471,0.644613,0.089437,-0.989576,-0.224934,-0.836835,-0.049801,0.469443,0.437312,Y
0.117948,-0.29909,0.473906,-0.204438,0.082961,-0.183409,0.786433,0.182776,0.313536,-0.456913,A
-0.314087,-0.157769,0.043581,1.051505,0.17234,-0.141884,0.710932,1.488404,0.750076,-0.380881,E
0.327793,0.50173,0.050694,-1.018301,0.261718,-0.930856,0.295677,0.614439,0.219991,-0.878324,G
0.068573,-0.016448,0.274747,-0.03633,0.261718,-0.307984,0.408929,0.35004,0.843621,-0.350937,H
-0.215336,0.776522,0.502357,-1.289141,-0.721442,-0.058835,0.031425,-0.266011,-0.403638,0.056334,A
-3.498799,0.148427,-3.210528,-0.293087,-4.922215,0.190314,-0.987837,0.304724,-0.497183,0.950536,I
0.241386,-0.322644,0.28186,0.274612,0.261718,-0.432558,0.52218,0.857869,0.157628,-0.545506,F
0.216699,-0.424709,0.306755,-0.043283,0.261718,-0.515608,0.333428,0.747842,0.032902,-0.519334,A
0.080916,-0.142067,0.171611,-0.470713,0.261718,1.228436,0.484429,-1.836252,-1.370264,0.936528,F
-0.153617,-0.840822,0.139604,-0.971903,0.17234,-0.764757,1.277188,-2.707071,-0.996086,-1.201956,X
0.266074,0.415367,0.089814,-0.68501,0.261718,-0.474083,0.295677,0.287153,0.375899,-0.471705,G
-0.22768,-0.110662,0.196506,1.060099,,0.06574,-0.044076,0.711089,1.498432,0.212653,X
0.266074,0.164129,0.118265,0.320234,0.261718,-0.640182,0.295677,-0.395318,-0.964905,-0.624299,A
0.117948,0.556689,-0.009765,-0.57261,0.261718,-0.764757,-0.459331,-0.536099,0.064084,-0.334867,F
0.241386,-0.126364,0.417003,0.096091,0.17234,-0.432558,0.333428,0.272708,0.282354,-0.451717,A
-0.079554,0.187683,0.335206,0.745008,0.17234,-0.01731,0.220177,0.872819,1.934972,0.001375,X
0.056229,0.054213,0.392108,-0.02896,0.261718,-0.515608,0.031425,0.195998,0.843621,-0.355818,H
0.944986,0.132725,0.136047,0.564936,0.17234,0.231839,0.446679,-0.281621,-0.777816,0.099407,A
-0.363462,0.23479,0.000904,0.759778,0.261718,1.062336,0.106925,0.216307,0.40708,1.043963,G
0.562327,-0.000745,-3.210528,-2.832246,0.261718,0.730137,0.446679,0.243255,0.282354,0.507751,A
-0.264711,-0.275537,0.107596,0.827362,0.261718,-0.224934,0.597681,1.054314,0.40708,-0.40123,A
-0.202992,-0.377602,0.434785,0.244803,-0.721442,-0.681707,0.031425,1.00063,0.843621,-0.487232,E
0.130292,-0.463965,0.338762,0.26578,0.261718,0.14879,0.786433,0.394404,-0.029461,-0.168265,A
-0.030178,0.014957,0.264078,0.374062,0.261718,-0.764757,-0.270579,0.20489,0.375899,-0.434201,A
-0.153617,-0.22843,0.488131,0.580183,0.261718,1.145386,0.333428,0.700274,0.282354,0.969258,A
0.73514,-0.283388,0.089814,-1.848127,0.976743,-0.972381,-1.101088,-2.357109,-0.777816,-0.166276,I
0.438888,-0.047852,0.388552,0.873551,-1.078955,-1.761353,0.295677,Q,1.03071,-1.614314,A
0.179667,0.321153,0.242739,0.045844,0.17234,0.314889,-0.044076,-0.659814,-0.341275,0.443521,A
-0.091897,0.226939,0.267634,0.024091,0.261718,-1.013906,0.408929,0.3434,0.781258,-1.004481,H
-0.351118,-0.244132,0.594823,1.592678,0.797987,0.397939,-1.025587,1.157371,1.591976,1.278013,X
0.043885,0.195534,0.260522,-0.393821,0.261718,3.678401,1.012935,-2.040308,-1.526171,2.712899,G
0.907954,1.467426,0.37077,-1.242027,0.708609,-0.515608,-1.28984,1.038025,1.779065,0.434733,I
0.4142,-0.16562,0.05425,-0.891996,0.976743,0.024215,-1.629594,0.062925,1.623157,1.232385,I
0.994361,-0.008597,-0.148465,0.826884,0.261718,-0.307984,0.106925,0.820902,0.18881,-0.220017,A
0.4142,-0.173471,0.392108,-0.130887,0.261718,-0.10036,0.371178,-1.074993,-0.808997,-0.173207,F
3.265629,-0.251983,0.125378,-2.12386,0.976743,-0.10036,-1.32759,0.654959,0.781258,0.876433,I
0.167323,0.117022,0.047137,-0.174809,0.261718,0.605563,0.861934,-0.43277,0.126447,0.182696,A
